Date,Open,High,Low,Close,Volume,signalMA,signalBB,signalSupRes,signalZigZag,signalContrarianSent,volatility,autocorr_1,Volume
2021-08-06 00:50:00,109.827,109.844,109.822,109.844,82,1,0,1,0,1,0.0005114041369654088,-0.20927120840414032,82
2021-08-06 00:51:00,109.843,109.853,109.833,109.849,101,1,0,1,0,1,0.0005114032597805377,-0.22845279791897327,101
2021-08-06 00:52:00,109.851,109.882,109.848,109.874,127,1,-1,1,0,1,0.0005298449574809798,-0.19930934820764698,127
2021-08-06 00:53:00,109.876,109.879,109.857,109.865,112,1,-1,1,0,1,0.0005422568224176105,-0.2698298129054639,112
2021-08-06 00:55:00,109.864,109.873,109.84,109.871,139,1,-1,1,0,1,0.0005056428199642937,-0.2532000758942644,139
2021-08-06 00:58:00,109.862,109.863,109.84,109.856,79,1,0,1,0,1,0.0005270859396282298,-0.24293268619801445,79
2021-08-06 00:59:00,109.861,109.868,109.852,109.864,70,1,0,1,0,1,0.0005177513897044878,-0.2548594082254103,70
2021-08-06 01:00:00,109.86,109.863,109.84,109.844,110,1,0,1,0,1,0.0005526271506098471,-0.2694286786525388,110
2021-08-06 01:01:00,109.846,109.853,109.841,109.852,78,1,0,1,0,1,0.0005484250278876655,-0.29279979296726355,78
2021-08-06 01:02:00,109.849,109.852,109.835,109.84,68,1,0,1,0,1,0.0005599401296804262,-0.3084517252428702,68
2021-08-06 01:05:00,109.839,109.851,109.832,109.84,82,1,0,1,0,1,0.000557975359879493,-0.30358126107971983,82
2021-08-06 01:07:00,109.842,109.842,109.824,109.832,73,-1,1,1,0,1,0.0005625323417109256,-0.3029995209988087,73
2021-08-06 01:08:00,109.829,109.852,109.828,109.848,81,-1,0,1,0,1,0.0005805585500623022,-0.4209074801332562,81
2021-08-06 01:09:00,109.851,109.853,109.838,109.85,90,-1,0,1,0,1,0.0005110912588140662,-0.33185140364787524,90
2021-08-06 01:12:00,109.862,109.864,109.849,109.853,59,-1,0,1,0,1,0.0004998160632747098,-0.35014903569569134,59
2021-08-06 01:13:00,109.859,109.863,109.848,109.855,57,-1,0,1,0,1,0.000499169232494257,-0.36581121628283003,57
2021-08-06 01:15:00,109.853,109.853,109.83,109.845,84,-1,0,1,0,1,0.000499170006984402,-0.3308685528226551,84
2021-08-06 01:16:00,109.846,109.851,109.841,109.849,62,1,0,1,0,1,0.0004766517929669606,-0.3391289467951376,62
2021-08-06 01:17:00,109.852,109.857,109.838,109.841,76,1,0,1,0,1,0.000480358758286958,-0.4129759530110992,76
2021-08-06 01:20:00,109.842,109.845,109.831,109.841,68,-1,0,1,0,1,0.0004364099254259295,-0.4306971509289214,68
2021-08-06 01:25:00,109.844,109.862,109.838,109.859,88,-1,-1,1,0,1,0.0004659449811911818,-0.40493059672487297,88
2021-08-06 01:26:00,109.858,109.862,109.84,109.857,82,-1,-1,1,0,1,0.00046647813327939505,-0.4012262739010843,82
2021-08-06 01:28:00,109.852,109.854,109.842,109.852,80,-1,0,1,0,1,0.00046718785282507595,-0.5112410833947184,80
2021-08-06 01:29:00,109.85,109.858,109.837,109.842,87,-1,0,1,0,1,0.00041035220904230875,-0.4588759619517909,87
2021-08-06 01:30:00,109.846,109.848,109.836,109.846,71,-1,0,1,0,1,0.00040679523974221946,-0.4542189286263098,71
2021-08-06 01:38:00,109.851,109.863,109.845,109.863,70,1,-1,1,0,1,0.0004344265605462916,-0.34319139739128773,70
2021-08-06 01:39:00,109.863,109.868,109.851,109.863,95,1,-1,1,0,1,0.0004113577538381613,-0.28202392536198034,95
2021-08-06 01:44:00,109.85,109.855,109.837,109.855,85,1,0,1,0,1,0.0004111967085991225,-0.22277473416430546,85
2021-08-06 01:45:00,109.854,109.863,109.842,109.853,62,1,0,1,0,1,0.0003669163768904095,-0.1351511637299146,62
2021-08-06 01:46:00,109.865,109.879,109.85,109.878,78,1,-1,1,0,1,0.0004253966586259235,-0.09525137751254552,78
2021-08-06 01:47:00,109.872,109.877,109.861,109.871,92,1,-1,1,0,1,0.0004141399546035185,-0.20283297232530215,92
2021-08-06 01:51:00,109.868,109.87,109.851,109.859,105,1,0,1,0,1,0.00043188447561657645,-0.14440520210378335,105
2021-08-06 01:53:00,109.858,109.868,109.855,109.865,67,1,0,1,0,1,0.00042552216006122736,-0.11021650294043916,67
2021-08-06 01:56:00,109.867,109.876,109.862,109.876,55,1,-1,1,0,1,0.00041301191322803526,-0.09477378160262682,55
2021-08-06 01:57:00,109.875,109.878,109.862,109.873,62,1,-1,1,0,1,0.0004148130939451675,-0.1138645013219523,62
2021-08-06 01:58:00,109.875,109.883,109.868,109.881,53,1,-1,1,0,1,0.00041928141610946256,-0.12718035070887138,53
2021-08-06 01:59:00,109.881,109.888,109.873,109.876,77,1,-1,1,0,1,0.0004231357184875253,-0.14594987545042581,77
2021-08-06 02:09:00,109.88,109.88,109.867,109.876,49,1,-1,1,0,1,0.0004101073619239584,-0.12951781263407666,49
2021-08-06 02:10:00,109.876,109.876,109.86,109.87,63,1,0,1,0,1,0.0004148266247887898,-0.11263841137304688,63
2021-08-06 02:13:00,109.874,109.875,109.866,109.874,40,1,0,1,0,1,0.00040647101750061125,-0.1307836961876545,40
2021-08-06 02:14:00,109.873,109.874,109.864,109.869,36,1,0,1,0,1,0.0004106782701118033,-0.1337855919220963,36
2021-08-06 02:15:00,109.873,109.875,109.864,109.875,43,1,-1,1,0,1,0.0003818156177382778,-0.1345162273082297,43
2021-08-06 02:18:00,109.87,109.873,109.864,109.868,62,1,1,1,0,1,0.00038762912706454856,-0.16672547957084058,62
2021-08-06 02:28:00,109.852,109.865,109.847,109.861,59,-1,0,1,1,1,0.0003905245136995798,-0.16927938174361265,59
2021-08-06 02:31:00,109.872,109.874,109.865,109.867,52,-1,0,1,1,1,0.00038037523696275065,-0.17541870429853146,52
2021-08-06 02:32:00,109.869,109.879,109.865,109.874,68,-1,-1,1,1,1,0.0003832709211609433,-0.19918824722144382,68
2021-08-06 02:35:00,109.876,109.877,109.86,109.869,61,-1,0,1,1,1,0.0003564055523578571,-0.23056350589512345,61
2021-08-06 02:37:00,109.87,109.878,109.862,109.876,72,1,-1,1,1,1,0.0003615743000759749,-0.2573918102764377,72
2021-08-06 02:41:00,109.875,109.877,109.87,109.875,26,1,-1,1,1,1,0.0003525592345216714,-0.2890137436314237,26
2021-08-06 02:48:00,109.873,109.875,109.862,109.866,36,1,1,1,1,1,0.0003632524062443446,-0.2804772995981078,36
2021-08-06 02:50:00,109.861,109.873,109.847,109.87,58,1,0,1,1,1,0.0002817990978677698,-0.2166321453700248,58
2021-08-06 02:52:00,109.878,109.882,109.85,109.873,70,1,0,1,1,1,0.00027600773221138,-0.33021593254102655,70
2021-08-06 03:00:00,109.861,109.866,109.854,109.866,49,-1,0,1,1,1,0.00026024877767527474,-0.2885999156972937,49
2021-08-06 03:04:00,109.865,109.867,109.856,109.858,59,-1,1,1,1,1,0.0002648873017267946,-0.3111030144918434,59
2021-08-06 03:05:00,109.859,109.864,109.85,109.863,53,-1,0,1,1,1,0.000247625591757414,-0.34583665138802333,53
2021-08-06 03:06:00,109.859,109.867,109.853,109.857,54,-1,1,1,1,1,0.0002516091122410658,-0.3657347709151053,54
2021-08-06 03:07:00,109.861,109.863,109.853,109.861,43,-1,0,1,1,1,0.00024194350120966388,-0.3622631304529315,43
