timestamp,value
1149984000000,-34640
1150588800000,-34708
1151193600000,-15241
1151798400000,-20976
1152403200000,-26513
1153008000000,-26637
1153612800000,-33543
1154217600000,-60218
1154822400000,-70971
1155427200000,-82362
1156032000000,-72161
1156636800000,-72505
1157241600000,-66473
1157846400000,-44484
1158451200000,-53608
1159056000000,-71902
1159660800000,-53982
1160265600000,-29106
1160870400000,-39294
1161475200000,-44313
1162080000000,-68494
1162684800000,-96882
1163289600000,-78301
1163894400000,-85549
1164499200000,-95384
1165104000000,-92207
1165708800000,-98133
1166313600000,-102937
1166918400000,-93875
1167523200000,-83206
1168128000000,-73471
1168732800000,-100885
1169337600000,-112469
1169942400000,-90860
1170547200000,-107096
1171152000000,-60119
1171756800000,-69795
1172361600000,-83018
1172966400000,-35677
1173571200000,-27923
1174176000000,-53307
1174780800000,-55629
1175385600000,-65601
1175990400000,-55343
1176595200000,-66257
1177200000000,-79574
1177804800000,-75148
1178409600000,-65693
1179014400000,-49401
1179619200000,-46475
1180224000000,-60190
1180828800000,-74851
1181433600000,-44892
1182038400000,-80358
1182643200000,-107839
1183248000000,-104623
1183852800000,-97683
1184457600000,-107456
1185062400000,-93355
1185667200000,-77318
1186272000000,-61026
1186876800000,-50743
1187481600000,-35189
1188086400000,-39192
1188691200000,-38015
1189296000000,-48326
1189900800000,-19718
1190505600000,-29196
1191110400000,-31919
1191715200000,-37128
1192320000000,-43764
1192924800000,-50296
1193529600000,-59456
1194134400000,-66886
1194739200000,-48451
1195344000000,-38844
1195948800000,-37021
1196553600000,-35183
1197158400000,-55284
1197763200000,-9725
1198368000000,-5993
1198972800000,8789
1199577600000,8246
1200182400000,4528
1200787200000,9643
1201392000000,1190
1201996800000,15341
1202601600000,22439
1203206400000,20820
1203811200000,2350
1204416000000,-13313
1205020800000,-15249
1205625600000,-27948
1206230400000,-16114
1206835200000,8845
1207440000000,19169
1208044800000,27187
1208649600000,1745
1209254400000,36768
1209859200000,40402
1210464000000,36840
1211068800000,34659
1211673600000,34206
1212278400000,33204
1212883200000,28221
1213488000000,39380
1214092800000,22740
1214697600000,10462
1215302400000,13988
1215907200000,-3972
1216512000000,741
1217116800000,3691
1217721600000,35441
1218326400000,46492
1218931200000,59163
1219536000000,63155
1220140800000,61063
1220745600000,59894
1221350400000,62285
1221955200000,62655
1222560000000,46806
1223164800000,51193
1223769600000,44668
1224374400000,50650
1224979200000,44669
1225584000000,45692
1226188800000,52597
1226793600000,55770
1227398400000,51849
1228003200000,50958
1228608000000,55154
1229212800000,23252
1229817600000,25340
1230422400000,29981
1231027200000,26746
1231632000000,25388
1232236800000,30646
1232841600000,32432
1233446400000,28795
1234051200000,24859
1234656000000,25129
1235260800000,25135
1235865600000,22446
1236470400000,27581
1237075200000,33691
1237680000000,30221
1238284800000,31372
1238889600000,33967
1239494400000,34039
1240099200000,32167
1240704000000,32730
1241308800000,28006
1241913600000,24654
1242518400000,30005
1243123200000,29272
1243728000000,23215
1244332800000,13651
1244937600000,8046
1245542400000,11145
1246147200000,1715
1246752000000,7597
1247356800000,11519
1247961600000,2337
1248566400000,6742
1249171200000,-1717
1249776000000,3595
1250380800000,7623
1250985600000,9430
1251590400000,22032
1252195200000,7500
1252800000000,10915
1253404800000,31782
1254009600000,55854
1254614400000,70872
1255219200000,76698
1255824000000,52325
1256428800000,35522
1257033600000,18944
1257638400000,14723
1258243200000,3076
1258848000000,7575
1259452800000,8996
1260057600000,18188
1260662400000,27299
1261267200000,28540
1261872000000,35059
1262476800000,45824
1263081600000,44757
1263686400000,24518
1264291200000,33035
1264896000000,43534
1265500800000,65567
1266105600000,72367
1266710400000,80968
1267315200000,78544
1267920000000,80504
1268524800000,80554
1269129600000,89048
1269734400000,82530
1270339200000,77083
1270944000000,68485
1271548800000,60992
1272153600000,67018
1272758400000,82343
1273363200000,91454
1273968000000,95449
1274572800000,97178
1275177600000,93657
1275782400000,97211
1276387200000,66514
1276992000000,62116
1277596800000,51970
1278201600000,49738
1278806400000,46623
1279411200000,33697
1280016000000,28091
1280620800000,4689
1281225600000,-4592
1281830400000,1488
1282435200000,3531
1283040000000,19595
1283644800000,24048
1284249600000,8400
1284854400000,6690
1285459200000,-2219
1286064000000,-16224
1286668800000,-14159
1287273600000,-8913
1287878400000,-9631
1288483200000,-19015
1289088000000,-31274
1289692800000,-27231
1290297600000,-12711
1290902400000,6929
1291507200000,15881
1292112000000,9519
1292716800000,11124
1293321600000,20420
1293926400000,21717
1294531200000,11541
1295136000000,-11057
1295740800000,-15400
1296345600000,-32356
1296950400000,-34723
1297555200000,-66435
1298160000000,-47103
1298764800000,-39233
1299369600000,-48233
1299974400000,-8512
1300579200000,-46623
1301184000000,-9133
1301788800000,-45318
1302393600000,-48892
1302998400000,-46260
1303603200000,-56162
1304208000000,-53460
1304812800000,-35184
1305417600000,-7455
1306022400000,12229
1306627200000,-3837
1307232000000,-7171
1307836800000,-18820
1308441600000,10590
1309046400000,21696
1309651200000,33816
1310256000000,35737
1310860800000,11963
1311465600000,-5034
1312070400000,-10464
1312675200000,-6343
1313280000000,-5550
1313884800000,-24034
1314489600000,-10441
1315094400000,12181
1315699200000,33329
1316304000000,75542
1316908800000,83678
1317513600000,88682
1318118400000,82204
1318723200000,70587
1319328000000,59268
1319932800000,53870
1320537600000,34679
1321142400000,42463
1321747200000,50812
1322352000000,63904
1322956800000,61186
1323561600000,57607
1324166400000,39464
1324771200000,41338
1325376000000,47751
1325980800000,55613
1326585600000,65645
1327190400000,48063
1327795200000,40280
1328400000000,41719
