time,long_percentage
2020-11-10,0.312536170920276
2020-11-11,0.30559190340495396
2020-11-12,0.39866496119337036
2020-11-13,0.3086825517126643
2020-11-16,0.28011949988411716
2020-11-17,0.27304784168243684
2020-11-18,0.2545430159103289
2020-11-18,0.28147279793698593
2020-11-20,0.26015519335436516
2020-11-23,0.3073868712293519
2020-11-24,0.2794840496542478
2020-11-25,0.24392633510473222
2020-11-26,0.22985203473719593
2020-11-27,0.2684910113963653
2020-11-29,0.18306230800186243
2020-12-01,0.2339700229916271
2020-12-02,0.14402068139779656
2020-12-03,0.14667126586987062
2020-12-04,0.16122117314633383
2020-12-07,0.17354908148452594
2020-12-08,0.23449466754836842
2020-12-09,0.23562014423463704
2020-12-10,0.3373533612235264
2020-12-11,0.23127820653680334
2020-12-14,0.2595083967482222
2020-12-15,0.22632643944779182
2020-12-16,0.21685212449838856
2020-12-17,0.22897928017002275
2020-12-18,0.1573116563443837
2020-12-21,0.21957037629489023
2020-12-22,0.2052830619178686
2020-12-23,0.3935230068725789
2020-12-24,0.2771149038591661
2020-12-27,0.2869668351990772
2020-12-29,0.24806150681958689
2020-12-30,0.21487567353857517
2020-12-31,0.21095937180417554
2021-01-04,0.353199467694279
2021-01-05,0.30369634930385664
2021-01-06,0.2180903724271065
2021-01-07,0.23287879313733897
2021-01-07,0.35751570176308745
2021-01-11,0.365914272171522
2021-01-12,0.44482576869566004
2021-01-13,0.3225264132607502
2021-01-14,0.42065639739306576
2021-01-15,0.3947273910585597
2021-01-18,0.5647877161989212
2021-01-19,0.5871301279966781
2021-01-20,0.29340808356122294
2021-01-21,0.42420103219083916
2021-01-22,0.32336373562276727
2021-01-25,0.30718052534948853
2021-01-26,0.4355337607060755
2021-01-27,0.3383588417304777
2021-01-28,0.4615193182695146
2021-01-29,0.4279671924948107
2021-02-01,0.346242880048553
2021-02-02,0.5816229722393417
2021-02-03,0.6668987758603314
2021-02-04,0.6290531293601114
2021-02-05,0.7898158284208069
2021-02-08,0.38228667605017386
2021-02-09,0.3211006010244485
2021-02-10,0.19267328550782897
2021-02-11,0.18761203908125518
2021-02-12,0.1855229589674088
2021-02-15,0.2900398249668125
2021-02-15,0.26860948473593516
2021-02-17,0.3829106650685621
2021-02-18,0.7211232420410402
2021-02-19,0.3884093993244521
2021-02-22,0.27714240102213505
2021-02-23,0.31811806957397476
2021-02-24,0.2943295354830856
2021-02-25,0.2558310042849931
2021-02-26,0.3030153282024128
2021-03-01,0.6259083936542038
2021-03-02,0.6540743864558047
2021-03-03,0.34226570584804905
2021-03-04,0.43130353722123765
2021-03-05,0.7043623253156513
2021-03-08,0.8010515282060314
2021-03-09,0.8177482237338842
2021-03-10,0.6653899556396315
2021-03-11,0.6261309416966706
2021-03-12,0.3438262539793855
2021-03-15,0.5438410843894318
2021-03-16,0.5619892652089831
2021-03-17,0.5772702811515451
2021-03-18,0.39015367072723905
2021-03-19,0.6008352269913672
2021-03-22,0.5466500598108149
2021-03-23,0.37014916935203807
2021-03-24,0.7993773657917783
2021-03-25,0.8223133234209533
2021-03-26,0.8497833837784042
2021-03-29,0.8089741065030039
2021-03-30,0.8242117477075138
2021-03-31,0.8491310667506318
2021-04-01,0.7912247526651868
2021-04-02,0.6888553692485475
2021-04-05,0.6963695859560128
2021-04-06,0.4373934343712888
2021-04-06,0.2641711342854008
2021-04-08,0.27579130470886093
2021-04-09,0.23696190436815825
2021-04-12,0.3289909511164321
2021-04-13,0.2823212011280486
2021-04-14,0.2308862996404365
2021-04-15,0.1806814385511115
2021-04-16,0.19752396982467707
2021-04-19,0.23231634791786254
2021-04-20,0.15971543066108823
2021-04-21,0.22254305160413354
2021-04-22,0.2464466360700369
2021-04-23,0.29376186973102325
2021-04-26,0.14433021150810385
2021-04-27,0.21111576709357713
2021-04-28,0.21629432256135253
2021-04-29,0.1915852276703648
2021-04-30,0.21176587303409905
2021-05-03,0.5708619637947053
2021-05-04,0.33190256335982943
2021-05-05,0.4296791960464506
2021-05-06,0.4448365699298038
2021-05-07,0.25296510165207076
2021-05-10,0.1591115886475394
2021-05-11,0.20555304725807605
2021-05-12,0.2023306880166869
2021-05-13,0.37953001341523096
2021-05-14,0.3055731648718252
2021-05-17,0.20087093998437602
2021-05-18,0.20023790032153121
2021-05-19,0.13912301531930676
2021-05-20,0.28916719329899543
2021-05-21,0.19241976279620876
2021-05-24,0.29377648431573505
2021-05-25,0.2218822732629378
2021-05-26,0.18195560707087846
2021-05-27,0.3943689570125134
2021-05-28,0.3296072634990703
2021-05-31,0.2576779966611018
2021-06-01,0.20272312010378227
2021-06-02,0.2826771355638879
2021-06-03,0.2794523159443296
2021-06-04,0.5882143479917232
2021-06-07,0.3615959314987393
2021-06-08,0.2368082111030202
2021-06-09,0.32672671376811474
2021-06-10,0.3310057526950854
2021-06-11,0.3255276830478436
2021-06-14,0.6793810721357699
2021-06-15,0.4884347236970446
2021-06-16,0.3862818176519982
2021-06-17,0.6322269245650948
2021-06-18,0.8483088300033426
2021-06-21,0.8435717075353822
2021-06-22,0.6949387944574553
2021-06-23,0.5821855190655372
2021-06-23,0.6176006477689993
2021-06-25,0.5956161792021082
2021-06-28,0.582691196757864
2021-06-29,0.5696869554444113
2021-06-30,0.6166574565064883
2021-07-01,0.7075006480237218
2021-07-02,0.6870073297320908
2021-07-04,0.6222660975359401
2021-07-06,0.6060846298364821
2021-07-07,0.718043928761806
2021-07-08,0.7162366753207536
2021-07-09,0.5315268194019085
2021-07-12,0.5268983748470166
2021-07-13,0.5689704684959823
