timestamp,value
1149984000000,481
1150588800000,5334
1151193600000,17100
1151798400000,5367
1152403200000,6825
1153008000000,21925
1153612800000,27363
1154217600000,14031
1154822400000,13290
1155427200000,18413
1156032000000,10637
1156636800000,14991
1157241600000,21032
1157846400000,42904
1158451200000,54947
1159056000000,39054
1159660800000,40323
1160265600000,73631
1160870400000,83352
1161475200000,85985
1162080000000,56829
1162684800000,63890
1163289600000,44925
1163894400000,41669
1164499200000,7583
1165104000000,-6872
1165708800000,-3370
1166313600000,-16
1166918400000,6943
1167523200000,19545
1168128000000,42846
1168732800000,51189
1169337600000,52601
1169942400000,68097
1170547200000,50982
1171152000000,73323
1171756800000,58285
1172361600000,42308
1172966400000,16503
1173571200000,20159
1174176000000,8431
1174780800000,5339
1175385600000,21217
1175990400000,21828
1176595200000,17307
1177200000000,11447
1177804800000,27062
1178409600000,33787
1179014400000,37288
1179619200000,74211
1180224000000,69692
1180828800000,67112
1181433600000,87959
1182038400000,93381
1182643200000,75805
1183248000000,42437
1183852800000,43386
1184457600000,38551
1185062400000,43990
1185667200000,15831
1186272000000,-4288
1186876800000,7483
1187481600000,17505
1188086400000,19796
1188691200000,35659
1189296000000,-6729
1189900800000,-17620
1190505600000,-19309
1191110400000,-12096
1191715200000,-9012
1192320000000,-761
1192924800000,-11182
1193529600000,-23984
1194134400000,-16544
1194739200000,-30260
1195344000000,-30474
1195948800000,-27707
1196553600000,-19125
1197158400000,-13123
1197763200000,-1611
1198368000000,2386
1198972800000,-3753
1199577600000,-11085
1200182400000,-18654
1200787200000,-32812
1201392000000,-23157
1201996800000,-16195
1202601600000,-17673
1203206400000,-12902
1203811200000,-22561
1204416000000,-17298
1205020800000,-10683
1205625600000,-25222
1206230400000,-23432
1206835200000,-18038
1207440000000,-12025
1208044800000,-13933
1208649600000,-12030
1209254400000,-11701
1209859200000,2549
1210464000000,13727
1211068800000,-2929
1211673600000,2032
1212278400000,6793
1212883200000,551
1213488000000,3554
1214092800000,-4147
1214697600000,-17510
1215302400000,-5410
1215907200000,-29760
1216512000000,-6435
1217116800000,3707
1217721600000,10728
