time,long_percentage
2020-11-10,0.39826160862536525
2020-11-11,0.46368508106505996
2020-11-12,0.4385744516696859
2020-11-13,0.45964511420081433
2020-11-16,0.6071114088254608
2020-11-17,0.6278292459582994
2020-11-18,0.7128080041130834
2020-11-18,0.783217345377752
2020-11-20,0.7745118174960789
2020-11-23,0.772361779630872
2020-11-24,0.75955537843558
2020-11-25,0.5460471075970402
2020-11-26,0.61642252671138
2020-11-27,0.639189274367716
2020-11-29,0.7156614404753843
2020-12-01,0.6377404561164105
2020-12-02,0.5818368666409005
2020-12-03,0.5355453918292924
2020-12-04,0.7225398764556622
2020-12-07,0.6613690133987059
2020-12-08,0.6606567875531333
2020-12-09,0.6464323100597339
2020-12-10,0.6037906188215383
2020-12-11,0.6130265772051793
2020-12-14,0.7143532284082487
2020-12-15,0.6840797915207107
2020-12-16,0.7275127368800167
2020-12-17,0.7251763726852116
2020-12-18,0.7688203603040625
2020-12-21,0.6891276973920475
2020-12-22,0.6793956519231878
2020-12-23,0.6080699277829639
2020-12-24,0.6553625446711072
2020-12-27,0.6215427510373926
2020-12-29,0.5862880575177186
2020-12-30,0.6819090788818383
2020-12-31,0.7440822893416706
2021-01-04,0.7467756232431015
2021-01-05,0.6909750346786121
2021-01-06,0.7884202623114402
2021-01-07,0.6261742980483906
2021-01-07,0.4044143549763636
2021-01-11,0.43515290470500856
2021-01-12,0.3487594992049398
2021-01-13,0.5327297989395572
2021-01-14,0.5770236817827552
2021-01-15,0.6450808932927312
2021-01-18,0.587529059062894
2021-01-19,0.6246309199513247
2021-01-20,0.5202496920584931
2021-01-21,0.6901553190756621
2021-01-22,0.6913938673595127
2021-01-25,0.5122836197361307
2021-01-26,0.47965897251292594
2021-01-27,0.601788509019636
2021-01-28,0.36058673587188417
2021-01-29,0.27468329122008983
2021-02-01,0.1911494066783066
2021-02-02,0.1686835363617323
2021-02-03,0.1544211148186518
2021-02-04,0.15774050645286614
2021-02-05,0.114346469714738
2021-02-08,0.145656028893316
2021-02-09,0.2102596698166459
2021-02-10,0.657581878625689
2021-02-11,0.6211232166723488
2021-02-12,0.6230170391244793
2021-02-15,0.3950666955195251
2021-02-15,0.2964486630756722
2021-02-17,0.20866181724207217
2021-02-18,0.24142984726818245
2021-02-19,0.29981690528251875
2021-02-22,0.4940921479149655
2021-02-23,0.40387656433288616
2021-02-24,0.44666521497600375
2021-02-25,0.25841397102376884
2021-02-26,0.21639154075368688
2021-03-01,0.19984401591735337
2021-03-02,0.18513550758779176
2021-03-03,0.18247761180996125
2021-03-04,0.16469398677259472
2021-03-05,0.10565434209437832
2021-03-08,0.11140020900059101
2021-03-09,0.09289732117781514
2021-03-10,0.16120793384867604
2021-03-11,0.14291557058818985
2021-03-12,0.13656950024284586
2021-03-15,0.11813236371223464
2021-03-16,0.12134371940329781
2021-03-17,0.14749680595537973
2021-03-18,0.1555418394864445
2021-03-19,0.15144619632910392
2021-03-22,0.1326157926491746
2021-03-23,0.1551372128971197
2021-03-24,0.17892563810840906
2021-03-25,0.13968408429808235
2021-03-26,0.11661560570060789
2021-03-29,0.1148436675950845
2021-03-30,0.11381168278565416
2021-03-31,0.11147755149361059
2021-04-01,0.12201008491509915
2021-04-02,0.1251049195565356
2021-04-05,0.12529170366699324
2021-04-06,0.2095289982597733
2021-04-06,0.23044421522940947
