time,long_percentage
2020-11-10,0.3342980411494886
2020-11-11,0.24039082571685594
2020-11-12,0.28439722988515154
2020-11-13,0.5182162539368105
2020-11-16,0.40920841482813225
2020-11-17,0.3636854408599202
2020-11-18,0.28458611604726697
2020-11-18,0.26153837432969157
2020-11-20,0.32787549398989857
2020-11-23,0.2689584669942681
2020-11-24,0.20729222318736287
2020-11-25,0.24066241209119013
2020-11-26,0.23121442086408958
2020-11-27,0.30757689929343546
2020-11-29,0.39309586275467223
2020-12-01,0.28640575960641274
2020-12-02,0.25582287577188373
2020-12-03,0.34229363521338724
2020-12-04,0.2028874753283596
2020-12-07,0.3131958817797365
2020-12-08,0.5019771116178464
2020-12-09,0.37663360766424697
2020-12-10,0.36654115213682226
2020-12-11,0.5152417875446791
2020-12-14,0.5235193616942653
2020-12-15,0.35424509998091164
2020-12-16,0.24572968400285936
2020-12-17,0.26322397442313455
2020-12-18,0.2519929053304324
2020-12-21,0.41735263166843944
2020-12-22,0.46812838012076036
2020-12-23,0.44785133851187475
2020-12-24,0.2727293278591691
2020-12-27,0.2559968296464918
2020-12-29,0.4276652001852979
2020-12-30,0.3884987768575555
2020-12-31,0.2123291772785912
2021-01-04,0.1707900974099395
2021-01-05,0.4648588454683812
2021-01-06,0.3214945846263586
2021-01-07,0.3827563945188539
2021-01-07,0.43089187366984555
2021-01-11,0.4219451503438653
2021-01-12,0.4257941671384607
2021-01-13,0.1481182947257975
2021-01-14,0.2275271148500163
2021-01-15,0.19417750741797735
2021-01-18,0.49998047491025965
2021-01-19,0.4867497796561078
2021-01-20,0.2642606866048229
2021-01-21,0.2558405113641542
2021-01-22,0.21512740161731392
2021-01-25,0.3310009543408202
2021-01-26,0.3538241928965148
2021-01-27,0.13876875837411984
2021-01-28,0.28671139799931344
2021-01-29,0.40468129908921824
2021-02-01,0.32156585766238427
2021-02-02,0.45327257923942177
2021-02-03,0.4651531445516966
2021-02-04,0.3788841947328937
2021-02-05,0.288610534246961
2021-02-08,0.19193658817435919
2021-02-09,0.21703348776359963
2021-02-10,0.13538076541267566
2021-02-11,0.10947878826545869
2021-02-12,0.19132171309045598
2021-02-15,0.17468095156483174
2021-02-15,0.11438205006294261
2021-02-17,0.18918240317362187
2021-02-18,0.2878310270126884
2021-02-19,0.15250411022925484
2021-02-22,0.1304914059830729
2021-02-23,0.1766032666463015
2021-02-24,0.12099567248732053
2021-02-25,0.21619487830097414
2021-02-26,0.4960066642587369
2021-03-01,0.5335608989850169
2021-03-02,0.48333270325550354
2021-03-03,0.43350825630353146
2021-03-04,0.4462330292433491
2021-03-05,0.548010344706177
2021-03-08,0.6197970333804605
2021-03-09,0.5480243940421154
2021-03-10,0.42296785678844534
2021-03-11,0.44013737475380654
2021-03-12,0.32041737783103946
2021-03-15,0.4322486593274106
2021-03-16,0.48558504715030554
2021-03-17,0.39560280923083235
2021-03-18,0.3604851644698538
2021-03-19,0.4738712934010427
2021-03-22,0.5587348935963427
2021-03-23,0.49548246403321533
2021-03-24,0.6705389115835989
2021-03-25,0.747927439612909
2021-03-26,0.642557312760864
2021-03-29,0.40634931961581433
2021-03-30,0.49577073807968647
2021-03-31,0.6150033674807699
2021-04-01,0.4405733216398492
2021-04-02,0.36966313310163945
2021-04-05,0.3856603183154798
2021-04-06,0.22954400563135235
2021-04-06,0.5554525440075543
2021-04-08,0.6570839893766646
2021-04-09,0.6365650494686032
2021-04-12,0.7014598522017615
2021-04-13,0.5058877742994463
2021-04-14,0.5262500569910052
2021-04-15,0.48299561248510775
2021-04-16,0.48509582116588434
2021-04-19,0.2632325722811297
2021-04-20,0.09681098917773237
2021-04-21,0.1957939802487501
2021-04-22,0.3608484394951123
2021-04-23,0.6523347565629813
2021-04-26,0.4855091452648667
2021-04-27,0.43586827262395555
2021-04-28,0.4107001228316833
2021-04-29,0.3963317161736086
2021-04-30,0.36598587220882783
2021-05-03,0.7067438193068581
2021-05-04,0.3344065705251793
2021-05-05,0.43274648229041196
2021-05-06,0.38229025925471
2021-05-07,0.4773109224150664
2021-05-10,0.2889628514395913
2021-05-11,0.13453689091833435
2021-05-12,0.13621802674168043
2021-05-13,0.3841397729621509
2021-05-14,0.44724492436539864
2021-05-17,0.2994697576484661
2021-05-18,0.22325473532897103
2021-05-19,0.1576894062774864
2021-05-20,0.4245818459946297
2021-05-21,0.24819176773277346
2021-05-24,0.3774990392317558
2021-05-25,0.35391627960061717
2021-05-26,0.39035171370379995
2021-05-27,0.42952479888912676
2021-05-28,0.222900481446953
2021-05-31,0.24703093393634779
2021-06-01,0.23671834930205568
2021-06-02,0.45500013295868524
2021-06-03,0.3508123660484716
2021-06-04,0.5400499017087556
2021-06-07,0.29126471890396716
2021-06-08,0.23868424615662348
2021-06-09,0.3598883564384883
2021-06-10,0.4962765887944873
2021-06-11,0.26922517447888455
2021-06-14,0.49431508477796593
2021-06-15,0.46844991650075524
2021-06-16,0.5085876900654698
2021-06-17,0.5877140505309937
2021-06-18,0.7966516974033997
2021-06-21,0.8719381186023021
2021-06-22,0.4113761297798378
2021-06-23,0.43064948450772156
2021-06-23,0.3367421783689511
2021-06-25,0.45094747668924384
2021-06-28,0.5609266497655608
2021-06-29,0.5563771588454671
2021-06-30,0.6777815990549815
2021-07-01,0.6702919411457742
2021-07-02,0.7542015793317588
2021-07-04,0.5160151953519717
2021-07-06,0.3991218437271883
2021-07-07,0.695647249136632
2021-07-08,0.5600477965541025
2021-07-09,0.5935989279290056
2021-07-12,0.45539372009678913
2021-07-13,0.3760685489785122
