0,1.38676,1.38686,1.38669,1.38686,0,1.38686,1.38697,1.38680,1.38697,0
60000,1.38688,1.38688,1.38685,1.38685,0,1.38700,1.38700,1.38696,1.38698,0
120000,1.38686,1.38690,1.38686,1.38689,0,1.38698,1.38702,1.38697,1.38702,0
180000,1.38689,1.38689,1.38685,1.38685,0,1.38700,1.38701,1.38696,1.38697,0
240000,1.38684,1.38685,1.38682,1.38684,0,1.38695,1.38696,1.38692,1.38693,0
300000,1.38683,1.38683,1.38672,1.38676,0,1.38693,1.38693,1.38685,1.38686,0
360000,1.38674,1.38675,1.38666,1.38670,0,1.38686,1.38686,1.38678,1.38680,0
420000,1.38670,1.38674,1.38670,1.38671,0,1.38681,1.38686,1.38681,1.38682,0
480000,1.38669,1.38672,1.38669,1.38672,0,1.38682,1.38683,1.38682,1.38682,0
540000,1.38670,1.38671,1.38669,1.38670,0,1.38681,1.38681,1.38680,1.38681,0
600000,1.38669,1.38670,1.38662,1.38669,0,1.38681,1.38682,1.38673,1.38680,0
660000,1.38671,1.38674,1.38671,1.38672,0,1.38682,1.38685,1.38682,1.38683,0
720000,1.38672,1.38674,1.38671,1.38672,0,1.38684,1.38687,1.38683,1.38685,0
780000,1.38670,1.38670,1.38670,1.38670,0,1.38682,1.38682,1.38682,1.38682,0
840000,1.38671,1.38673,1.38670,1.38673,0,1.38684,1.38685,1.38682,1.38685,0
900000,1.38672,1.38684,1.38672,1.38682,0,1.38685,1.38695,1.38683,1.38692,0
960000,1.38682,1.38686,1.38681,1.38684,0,1.38693,1.38698,1.38693,1.38696,0
1020000,1.38683,1.38683,1.38682,1.38682,0,1.38696,1.38696,1.38692,1.38693,0
1080000,1.38684,1.38684,1.38682,1.38682,0,1.38695,1.38695,1.38693,1.38693,0
1140000,1.38684,1.38684,1.38683,1.38683,0,1.38695,1.38695,1.38695,1.38695,0
1200000,1.38682,1.38684,1.38678,1.38678,0,1.38695,1.38695,1.38690,1.38691,0
1260000,1.38679,1.38679,1.38679,1.38679,0,1.38689,1.38690,1.38689,1.38690,0
1320000,1.38677,1.38680,1.38675,1.38679,0,1.38690,1.38691,1.38688,1.38691,0
1380000,1.38679,1.38679,1.38673,1.38675,0,1.38690,1.38690,1.38685,1.38686,0
1440000,1.38672,1.38672,1.38653,1.38658,0,1.38683,1.38684,1.38666,1.38670,0
1500000,1.38657,1.38657,1.38652,1.38656,0,1.38671,1.38671,1.38664,1.38668,0
1560000,1.38657,1.38659,1.38657,1.38659,0,1.38668,1.38671,1.38668,1.38670,0
1620000,1.38661,1.38661,1.38658,1.38658,0,1.38670,1.38670,1.38670,1.38670,0
1680000,1.38658,1.38658,1.38652,1.38653,0,1.38669,1.38670,1.38663,1.38664,0
1740000,1.38654,1.38654,1.38650,1.38653,0,1.38663,1.38666,1.38662,1.38665,0
1800000,1.38654,1.38654,1.38653,1.38654,0,1.38665,1.38666,1.38665,1.38666,0
